,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,4650,0,0,0,0,205,0,0,0,0,0,0,36,0,0,0,2,39,0,0,0,0,0
1,1,24500,0,0,0,4,0,0,0,0,0,0,0,0,0,46,8,8,9,8,0,0,0
2,0,0,115551,19,20,7,0,0,134,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,115525,24,2,0,0,117,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,11626,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,7245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,26,11,6,114693,0,127,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,30,27,7,0,115235,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,36,18,8,1,0,115647,10,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,2715,0,0,0,0,12013,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,77816,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,11,37,8,0,0,137,3,0,114662,0,0,0,0,0,0,0,0,0,0,0
12,270,0,0,0,0,3,0,0,0,0,0,0,1284,0,0,0,0,0,0,0,0,0,0
13,0,0,0,30,11,13,0,0,128,3,0,0,0,115337,0,0,0,0,0,0,0,0,0
14,0,0,0,31,27,6,0,0,140,1,0,0,0,0,114577,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4260,0,3164,0,0,0,0,0
16,0,0,0,0,0,2,0,0,0,0,0,0,490,0,0,180,200179,8,11,41,0,3,1
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,179625,46,92,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,1242,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,7759,50,9880,0,0,0
20,0,0,0,7,45,0,0,0,220,3,0,0,0,0,0,0,0,0,0,0,115024,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,222
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,226
