,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,4650,0,0,0,0,204,0,0,0,0,0,0,34,0,0,0,40,4,1,0,0,0,0
1,0,24498,0,0,0,23,0,0,0,0,0,0,0,0,0,21,11,0,7,0,0,0,26
2,0,0,115551,0,23,7,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,115494,26,2,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,11626,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,7240,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
6,0,0,0,1,14,6,114693,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,12,29,7,0,115235,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,28,8,1,0,115683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,5355,54,0,0,0,9234,0,0,0,0,0,0,0,2,0,0,0,84,0
10,0,0,0,0,0,0,0,0,17,0,77799,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,5,40,8,0,0,143,0,0,114662,0,0,0,0,0,0,0,0,0,0,0
12,272,0,0,0,0,3,0,0,0,0,0,0,1272,0,0,0,0,0,8,1,0,0,0
13,0,0,0,10,14,13,0,0,148,0,0,0,0,115337,0,0,0,0,0,0,0,0,0
14,0,0,0,13,28,6,0,0,157,0,0,0,0,0,114577,0,0,0,0,1,0,0,0
15,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,4197,0,3146,0,0,0,0,57
16,10,0,0,0,34,595,0,0,12,31,0,0,600,0,0,3,198933,29,39,485,0,98,42
17,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,93,0,179620,46,92,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1245,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73,0,7760,50,9878,0,0,0
20,0,0,0,6,48,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,115024,0,0
21,1,0,0,0,0,163,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,481,213
22,1,0,0,0,0,147,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,395,221
