,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1281,0,0,0,0,0,0,0,0,2,0,0,32,0,0,0,3299,320,0,0,0,0,0
1,17,24445,0,0,0,18,0,0,0,0,0,0,0,0,0,21,23,59,7,0,0,0,0
2,0,0,0,115551,20,7,0,0,123,3,0,0,19,0,0,0,11,0,0,0,0,0,0
3,0,0,0,115485,24,2,0,0,111,2,0,0,31,0,0,0,6,0,10,0,0,0,0
4,0,0,0,0,11626,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
5,0,0,0,0,0,5371,0,0,0,0,0,0,0,0,0,0,1874,0,0,0,0,0,0
6,0,0,1,114693,11,6,0,0,123,3,0,0,25,0,0,0,4,0,1,0,0,0,0
7,0,0,0,115235,27,7,0,0,144,2,0,0,18,0,0,0,6,0,12,0,0,0,0
8,0,0,1,115518,18,8,0,0,105,10,0,0,36,0,0,0,19,0,5,0,0,0,0
9,0,0,0,0,2715,0,0,0,0,11876,0,0,0,0,0,0,54,0,85,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,77745,0,13,0,0,17,0,41,0,0,0,0,0
11,0,0,0,114662,37,8,0,0,131,3,0,0,6,0,0,0,6,0,5,0,0,0,0
12,99,0,0,0,0,0,0,0,0,9,0,0,1197,0,0,0,247,6,0,0,0,0,0
13,0,0,0,115337,11,13,0,0,122,3,0,0,20,0,0,0,6,0,10,0,0,0,0
14,0,0,0,114577,27,6,0,0,131,1,0,0,18,0,0,0,9,0,14,0,0,0,0
15,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,4197,57,3121,0,0,0,0,0
16,7,0,0,0,4466,63,0,0,428,5564,0,0,127,0,0,215,189171,554,290,5,0,25,0
17,0,0,0,0,0,49,0,0,1,0,0,0,92,0,0,111,46,175210,0,4348,0,0,0
18,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,4,417,5,724,0,0,0,0
19,0,0,0,0,0,66,0,0,1,0,0,0,145,0,0,106,50,7837,0,9558,0,0,0
20,0,0,0,115023,45,0,0,0,215,3,0,0,1,0,0,0,2,0,9,0,0,0,0
21,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,402,0,167,5,0,128,0
22,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,385,0,137,4,0,98,0
